"","date","grimm_pm10","n_0044","n_0075","n_0100","n_0120","n_0140","n_0200","n_0250","n_0500","n_0750","n_1000","ws","mws","wd","temp","rh","pres","prec","poj_h","n_0250_m","n_0500_m","n_0200_m","n_0100_m","n_0200_mm","n_0075_c","n_0140_c","n_0500_c","n_1000_c","wday","hour"
"665",2022-04-29 16:00:00,27.1,26.3687914929108,3.04826855713094,0.464202112871838,0.135223519599666,0.10133778148457,0.258678065054212,0.0681517931609675,0.10448985265499,0.0127951070336391,0.0047372810675563,2.3,4,55,16.25,29.023333333333,997.43166666667,0,3000,1.02759327217125,0.172641645815958,0.959441479010286,3.51247067000278,0.495239366138449,29.4170600500417,0.236561301084237,0.172641645815958,0.0175323881011954,"5","16"
"666",2022-04-29 17:00:00,28.6,30.7677046718576,3.86415600667408,0.560564794215795,0.14764043381535,0.116020022246941,0.283740266963293,0.0751877085650723,0.121022525027809,0.0160614571746385,0.00555812013348165,1.8283333333333,3.7,52,15.506666666667,30.33,997.53833333333,0,3000,1.18315322580645,0.196210233592881,1.10796551724138,4.42472080088988,0.547400723025584,34.6318606785317,0.263660456062291,0.196210233592881,0.0216195773081201,"5","17"
"667",2022-04-29 18:00:00,31.3,47.6241073116486,6.47905393383375,0.77513288851821,0.19974256324715,0.141263274951348,0.335499860995274,0.0986755629691409,0.165204336947456,0.0218042813455657,0.00787795385043091,0.91166666666667,1.7,35,14.313333333333,33.913333333333,997.94,0,3000,1.55031415068112,0.263879899916597,1.45163858771198,7.25418682235196,0.676505699193773,54.1031612454823,0.341005838198499,0.263879899916597,0.0296822351959967,"5","18"
"668",2022-04-29 19:00:00,46.6,66.702364470392,9.57183514039477,0.935231025854879,0.230716430358632,0.162679177092021,0.362856547122602,0.112192938559911,0.195700305810398,0.0235537948290242,0.00905504587155963,0.53,0.8,328,12.333333333333,41.538333333333,998.15333333333,0,3000,1.80367611898805,0.307893244370309,1.69148318042813,10.5070661662497,0.756252154573255,76.2741996107868,0.393395607450653,0.307893244370309,0.0326088407005838,"5","19"
"669",2022-04-29 20:00:00,40.8,96.7984206283014,15.0600714484292,1.159011676397,0.252780372532666,0.175507923269391,0.378021962746733,0.106112037809286,0.173305532388101,0.0202977481234362,0.00695134834584376,0.585,1.3,328,10.88,46.42,998.11833333333,0,3000,2.07143397275507,0.279417570197387,1.96532193494579,16.2190831248262,0.806310258548791,111.858492076731,0.428288295802057,0.279417570197387,0.02724909646928,"5","20"
"670",2022-04-29 21:00:00,42.5,98.7522994161802,16.4308017792605,1.2318023352794,0.256935223797609,0.170531832082291,0.359574367528496,0.0958587711982207,0.15570058381985,0.0181067556296914,0.00620628301362246,0.62333333333333,1.3,330,9.7733333333333,48.55,998.175,0,3000,2.11470252988602,0.251559355018071,2.0188437586878,17.6626041145399,0.787041423408396,115.183101195441,0.4274670558799,0.251559355018071,0.0243130386433139,"5","21"
"671",2022-04-29 22:00:00,41.8,92.3569341117598,14.321574089519,1.05740728384765,0.23112454823464,0.153485960522658,0.343696413678065,0.102308034473172,0.170790102863497,0.0175782596608285,0.00600222407561857,0.615,1.5,329,8.535,53.44,998.145,0,3000,1.88802224075619,0.273098137336669,1.78571420628301,15.3789813733667,0.728306922435363,106.678508201279,0.384610508757298,0.273098137336669,0.023580483736447,"5","22"
"672",2022-04-29 23:00:00,49.3,85.9166683347234,13.0223183208229,0.997946900194607,0.225261328885182,0.153511815401724,0.349175979983319,0.113274395329441,0.190470948012232,0.0203881011954406,0.00611731998887962,0.465,1,314,7.4233333333333,58.461666666667,997.97166666667,0,3000,1.83917041979427,0.303745343341674,1.72589602446483,14.0202652210175,0.727949124270225,98.9389866555463,0.378773144286906,0.303745343341674,0.0265054211843203,"5","23"
"673",2022-04-30,42.3,116.013638865721,18.4096769530164,1.22290297470114,0.246959410619961,0.151396997497915,0.308147623019183,0.0901940505977203,0.137720878509869,0.0143094245204337,0.0051209341117598,0.59666666666667,1.4,295,5.9583333333333,64.471666666667,997.78166666667,0,3000,2.01960105643592,0.22791492910759,1.9294070058382,19.6325799277175,0.706504031137059,134.423315818738,0.398356408117876,0.22791492910759,0.0194303586321935,"6","0"
"674",2022-04-30 01:00:00,45.5,141.239728384765,23.5287064220183,1.55579204892966,0.293888796219071,0.177822907978871,0.345524047817626,0.101044203502919,0.167351125938282,0.019200722824576,0.00641173199888796,0.52666666666667,1.1,295,5.38,66.378333333333,997.68833333333,0,3000,2.47407200444815,0.268395329441201,2.37302780094523,25.084498470948,0.817235752015569,164.768434806783,0.471711704197943,0.268395329441201,0.025612454823464,"6","1"
"675",2022-04-30 02:00:00,43.4,154.003840422574,26.2285237698082,1.76198498748957,0.316432582707812,0.188510703363914,0.334237698081735,0.0932969140950792,0.147452043369475,0.0153122046149569,0.00498748957464554,0.36166666666667,0.6,261,4.7033333333333,67.041666666667,997.35666666667,0,3000,2.69446288573811,0.240748957464554,2.60116597164304,27.9905087572977,0.839180984153461,180.232364192383,0.504943286071726,0.240748957464554,0.0202996941896024,"6","2"
"676",2022-04-30 03:00:00,49.9,159.351201612903,27.1019126807564,1.84971523915462,0.319869855394883,0.189025862068966,0.344258342602892,0.0962091212458287,0.146642936596218,0.0146062291434928,0.00448025583982202,0.39166666666667,0.7,299,4.115,69.141666666667,997.17333333333,0,3000,2.79907842046719,0.242852057842047,2.70286929922136,28.951627919911,0.853154060066741,186.45311429366,0.508895717463849,0.242852057842047,0.0190864849833148,"6","3"
